mu	MCC
0.010000	0.662801
0.050000	0.598771
0.100000	0.556568
0.250000	0.584470
0.400000	0.538842
0.550000	0.624384
0.700000	0.540991
0.850000	0.537553
1.000000	0.591399
2.000000	0.695415
3.000000	0.475813
4.000000	0.766787
5.000000	0.619800
6.000000	0.543732
7.000000	0.568462
8.000000	0.544677
9.000000	0.562694
10.000000	0.681952
20.000000	0.543372
