1280	1
513	0
25091	0
41497	0
3333	0
8455	1
37640	0
29449	0
6667	0
196621	1
22548	0
25220	1
8218	1
6939	0
20764	1
286	1
57381	0
59689	1
9002	0
1836	1
2857	1
57821	0
202032	0
6453	0
8758	0
49463	1
8763	1
2613	1
25152	1
23106	0
263152	0
25160	0
53067	0
15435	0
53070	0
1103	0
22652	0
263651	0
9304	0
8283	1
43100	1
12637	0
16735	0
2914	0
12859	0
37989	0
62567	0
198249	1
7018	0
31122	0
20080	1
37239	0
5396	0
58299	1
50300	0
6762	1
52863	0
50304	0
6720	0
20612	1
264911	0
37271	0
64396	1
48526	1
4589	1
41617	1
198290	1
29075	1
8596	0
7575	1
20932	0
56730	0
28571	0
19151	0
8607	0
34288	1
24482	0
263075	0
29608	0
28329	0
262317	0
30844	0
3257	1
15547	0
50620	1
15605	0
31424	1
2497	0
50763	0
29636	0
49605	0
680	1
51405	1
29680	1
202194	1
29140	1
37497	0
16347	1
35369	1
34781	1
47872	0
8928	0
6881	0
34019	1
9189	1
13030	1
1916	0
8426	1
12779	0
14061	1
262757	0
52720	0
198385	1
59891	1
28917	1
29686	1
553	1
1273	0
