mu	MCC
0.010000	0.583732
0.050000	0.608119
0.100000	0.607068
0.250000	0.615438
0.400000	0.526793
0.550000	0.598864
0.700000	0.621148
0.850000	0.585168
1.000000	0.578250
2.000000	0.652545
3.000000	0.652545
4.000000	0.645113
5.000000	0.645957
6.000000	0.658655
7.000000	0.608991
8.000000	0.641906
9.000000	0.634461
10.000000	0.589213
20.000000	0.571506
