47872	1
513	1
25091	1
25220	1
37239	1
8455	1
25227	1
20932	1
39821	1
14061	1
25152	1
3252	1
22548	1
4608	1
7575	1
52888	1
14361	1
8596	1
20764	1
8222	1
263584	1
52720	1
24482	1
3491	1
29222	1
41617	1
680	1
553	1
41095	1
2895	1
1280	1
57821	1
15435	1
30132	1
286	1
3257	1
15547	1
28220	1
12350	1
6453	1
6720	1
2497	1
23106	1
6667	1
37271	1
29680	1
25160	1
50763	1
25933	1
53070	1
19151	1
20562	1
15699	0
29140	1
34288	1
37497	1
9304	1
13237	1
8283	1
37468	1
12637	1
327960	1
16735	1
2914	1
12859	1
9189	1
13030	1
62567	1
4777	1
6762	1
327995	1
4589	1
35054	1
262757	1
20080	1
35699	1
28917	1
29686	1
28329	1
2516	0
41722	1
1916	1
52863	1
