mu	MCC
0.010000	0.105509
0.050000	0.137359
0.100000	0.188191
0.250000	0.162844
0.400000	0.173168
0.550000	0.158345
0.700000	0.161335
0.850000	0.125207
1.000000	0.148324
2.000000	0.160637
3.000000	0.200690
4.000000	0.082308
5.000000	0.091583
6.000000	0.176513
7.000000	0.113301
8.000000	0.160235
9.000000	0.175289
10.000000	0.113407
20.000000	0.132881
