mu	MCC
0.010000	0.310986
0.050000	0.271420
0.100000	0.276524
0.250000	0.315373
0.400000	0.303233
0.550000	0.300456
0.700000	0.324279
0.850000	0.270326
1.000000	0.272705
2.000000	0.263052
3.000000	0.356847
4.000000	0.238647
5.000000	0.251756
6.000000	0.322400
7.000000	0.330889
8.000000	0.296279
9.000000	0.249393
10.000000	0.457305
20.000000	0.384605
