mu	MCC
0.010000	0.158254
0.050000	0.162595
0.100000	0.149364
0.250000	0.148031
0.400000	0.163025
0.550000	0.163385
0.700000	0.150743
0.850000	0.203189
1.000000	0.170761
2.000000	0.240460
3.000000	0.198869
4.000000	0.158046
5.000000	0.170917
6.000000	0.186903
7.000000	0.238441
8.000000	0.191159
9.000000	0.210893
10.000000	0.188138
20.000000	0.233925
