mu	MCC
0.010000	0.655253
0.050000	0.680313
0.100000	0.596238
0.250000	0.752763
0.400000	0.617509
0.550000	0.626794
0.700000	0.568624
0.850000	0.570433
1.000000	0.636037
2.000000	0.596433
3.000000	0.651158
4.000000	0.587477
5.000000	0.646242
6.000000	0.639934
7.000000	0.663000
8.000000	0.553957
9.000000	0.568222
10.000000	0.606855
20.000000	0.658453
