mu	MCC
0.010000	0.253798
0.050000	0.262137
0.100000	0.275393
0.250000	0.240425
0.400000	0.228844
0.550000	0.176767
0.700000	0.335494
0.850000	0.301651
1.000000	0.255110
2.000000	0.185679
3.000000	0.264980
4.000000	0.296992
5.000000	0.356386
6.000000	0.183911
7.000000	0.227451
8.000000	0.317431
9.000000	0.199443
10.000000	0.335721
20.000000	0.263653
