mu	MCC
0.010000	0.528349
0.050000	0.585410
0.100000	0.548201
0.250000	0.547358
0.400000	0.604183
0.550000	0.643605
0.700000	0.548331
0.850000	0.637454
1.000000	0.603437
2.000000	0.528080
3.000000	0.562620
4.000000	0.563628
5.000000	0.620244
6.000000	0.555671
7.000000	0.608599
8.000000	0.560837
9.000000	0.540174
10.000000	0.554062
20.000000	0.553749
