mu	MCC
0.010000	0.176309
0.050000	0.265555
0.100000	0.152532
0.250000	0.206288
0.400000	0.216107
0.550000	0.199875
0.700000	0.251335
0.850000	0.188879
1.000000	0.218576
2.000000	0.134050
3.000000	0.210067
4.000000	0.174580
5.000000	0.116461
6.000000	0.151910
7.000000	0.232043
8.000000	0.202509
9.000000	0.160412
10.000000	0.188689
20.000000	0.261750
