mu	MCC
0.010000	0.197497
0.050000	0.170033
0.100000	0.124007
0.250000	0.185879
0.400000	0.190364
0.550000	0.165879
0.700000	0.225377
0.850000	0.187552
1.000000	0.225191
2.000000	0.163045
3.000000	0.237335
4.000000	0.248291
5.000000	0.234346
6.000000	0.202824
7.000000	0.192942
8.000000	0.189878
9.000000	0.200910
10.000000	0.164913
20.000000	0.271090
