mu	MCC
0.010000	0.132111
0.050000	0.182100
0.100000	0.157305
0.250000	0.226168
0.400000	0.152534
0.550000	0.184307
0.700000	0.245743
0.850000	0.193876
1.000000	0.199109
2.000000	0.190727
3.000000	0.197225
4.000000	0.269336
5.000000	0.345554
6.000000	0.329006
7.000000	0.310170
8.000000	0.216731
9.000000	0.154977
10.000000	0.278092
20.000000	0.249469
