mu	MCC
0.010000	0.708845
0.050000	0.521614
0.100000	0.549169
0.250000	0.636957
0.400000	0.674268
0.550000	0.646579
0.700000	0.601649
0.850000	0.505774
1.000000	0.559270
2.000000	0.493869
3.000000	0.439879
4.000000	0.541676
5.000000	0.640848
6.000000	0.409627
7.000000	0.572033
8.000000	0.446748
9.000000	0.620801
10.000000	0.577062
20.000000	0.553499
